Time [s],Fx_net [N/m],Fy_net [N/m],Fz_net [N/m],Fmag_net [N/m]
1.720024,-419.6264231897122,-1.8714479273524552e-31,97.32238283153669,430.7644150101069
1.730014,317.0428872409015,-1.1824675299004806e-31,590.7656710351365,670.4627285864906
1.740022,164.85766192938644,-1.9440080273293233e-31,566.26354748399,589.7732224389108
1.750012,458.7693381113027,-2.3197382435655568e-31,442.90704282686147,637.6801346887937
1.760022,-24.779434037369104,-1.0619419553063284e-31,148.47246959313304,150.52605946578203
1.770015,-533.4090757331818,8.396730750605209e-32,12.09548203193044,533.5461955258532
1.780026,443.2262573666265,-1.0146263680827055e-32,57.92729559440699,446.9956227907706
1.790025,128.93656762519214,-4.0365283353511614e-32,33.78041378528059,133.28823964052688
1.800001,132.1819365837921,-1.2377204814996035e-31,311.8591411599382,338.715497555184
1.810013,150.7242594208061,1.7723137703439933e-32,46.1846337583907,157.6414373613332
1.82002,109.9621941867795,-1.4257877175296887e-31,163.5339786459733,197.06609632849748
1.830015,434.8296663243249,-1.6722445610363325e-31,293.44731215604395,524.5838004812294
1.840008,136.99023683539343,2.8253008115150687e-32,44.061008335116306,143.90169367913768
1.850012,388.74685615321357,-1.8390808256169653e-32,88.84125102822557,398.7692140239358
1.86002,-57.018891439017494,6.560192223132348e-33,-48.09737339170231,74.59565207245859
1.870028,419.655864593633,-9.530528502593109e-32,306.954050727907,519.934451586063
1.880018,-514.9262238887899,-1.5335265648373982e-31,-14.463207281581152,515.1293045568638
1.890002,61.065948501755685,6.56374297436311e-32,32.24888244042559,69.05823980580064
1.900011,-330.1377730525204,-2.0820495960764717e-31,72.53092411866525,338.01136689405143
1.910015,221.71597485873968,-4.5936086125925755e-32,114.64632192020228,249.6031903590015
1.920002,-118.29897094116102,1.8171175961240145e-32,26.942196174606984,121.32818493840854
1.930024,-227.46231028713746,-3.06511387444029e-32,2.5481759689163077,227.4765829748868
1.940006,34.40413190258909,6.275793559656338e-33,-31.18974609664185,46.43753388740335
1.950003,221.93959660044868,-2.877137227888591e-32,-11.654016230311848,222.24536133171884
1.960001,-74.4899405427319,-3.4532776805761295e-33,32.230258280467446,81.16366669197107
1.970002,-128.9162287080292,-2.829632922601222e-32,48.64402561253115,137.78837125132685
1.980005,3.184720177397041,1.8866959150120752e-32,-8.264784904052568,8.857150338487829
1.990031,-445.80344734632996,-7.613321925760706e-32,74.16933221174892,451.93119333213633
2.000007,720.1961965378796,-8.965357344755742e-32,54.88680380714373,722.2846549247685
