y_m,q_m,vnormal_m_s,speed_m_s,x_m,z_m,vx_m_s,vy_m_s,vz_m_s
-0.067803167,0.01664823363008164,0.19266519831248535,0.23764042747307926,-0.0027665372,0.016911656,0.23010504,-0.03351412,-0.049004562
-0.070107855,0.027627849238204424,0.20933711181362719,0.283145481243228,-0.0024663836,0.028966883,0.26619694,-0.031037241,-0.091363244
-0.080478407,0.016015988115823436,0.18642039663662674,0.22873770672172367,-0.0009936064,0.016977374,0.22168194,-0.033765893,-0.045143332
-0.065442279,0.016158302191729132,0.20041264995847888,0.24672573050173005,0.00054262049,0.017784068,0.23924641,-0.032603912,-0.050712191
-0.080329865,0.015051252071400727,0.18434990373100998,0.23160163107322465,0.00068417279,0.016641498,0.22274533,-0.034934096,-0.052947544
-0.076477453,0.024115630881550196,0.21665891118732938,0.28370387594258956,0.0015609504,0.02686085,0.26933649,-0.039273512,-0.080020845
-0.073006071,0.015394257285790932,0.18491728303060267,0.23907041813092933,0.0018651468,0.017515419,0.22833341,-0.028941063,-0.064660139
-0.080973998,0.013414228111638784,0.17204585895393104,0.22719582826519788,0.0037448537,0.016162282,0.21433562,-0.038752496,-0.064625308
-0.072945029,0.019877576006772032,0.22447149906529337,0.2875614648603615,0.0082094977,0.025078936,0.27518064,-0.039008409,-0.073794007
-0.068263933,0.010573087679478843,0.14876976848452692,0.21413442418320053,0.0073215356,0.014593991,0.19616264,-0.027396502,-0.081383057
-0.065621294,0.010047789136087788,0.14463295304681797,0.21036635152133015,0.0075841649,0.014134807,0.19202328,-0.024922801,-0.082218707
-0.080575131,0.01074237399132838,0.15273381386227763,0.21077587356345123,0.008205534,0.015153132,0.19521795,-0.039417285,-0.069012307
-0.080204695,0.008862665377949771,0.1516767915646383,0.2045519107265376,0.010459776,0.01406796,0.19135582,-0.036101282,-0.062618941
-0.08063034,0.007575083384304085,0.15629539504338408,0.20317088935629266,0.011963896,0.013307643,0.19241743,-0.037591271,-0.053299524
-0.073725298,0.007636199612320754,0.1540370137278113,0.2000570348875509,0.012359231,0.013541847,0.19095352,-0.021559238,-0.055630654
-0.06630677,0.006540844756091911,0.1411772098022546,0.1901583188156466,0.012630298,0.012466958,0.17902011,-0.021453835,-0.060429458
-0.063871212,0.02167499429016372,0.22690197898674255,0.29183894529424703,0.006567372,0.026334539,0.27918485,-0.035996001,-0.077006996
-0.061066259,0.009673466073594332,0.1420841543079943,0.20716731694157112,0.0081041763,0.013948889,0.18854836,-0.029641708,-0.080555461
-0.068853155,0.024554556428865396,0.22599177272643542,0.29442606821093453,0.0037482337,0.028266128,0.28049165,-0.034912635,-0.082415119
-0.046441622,0.034616561437457706,0.14529753269628384,0.23993467108789293,-0.026262144,0.026458442,0.20802122,-0.017972508,-0.11820663
-0.054712228,0.036480577483215294,0.14698464641543493,0.239192183694214,-0.028717475,0.027441209,0.20850043,-0.022613954,-0.11501774
-0.04635261,0.037444547980018464,0.1467892180155599,0.24078521286377022,-0.029603731,0.028112235,0.20934072,-0.018663311,-0.1174975
-0.050097622,0.03743244067841782,0.16920923451065678,0.2600660013692306,-0.0270955,0.029163763,0.2324903,-0.020901032,-0.11465484
-0.05659572,0.0309896360556024,0.13579078141529766,0.21956613401982028,-0.022288205,0.024205131,0.19201019,-0.018831572,-0.10481768
-0.045587089,0.02939545123585323,0.13519532165821674,0.21208026185610004,-0.019733047,0.023557872,0.1876934,-0.022364845,-0.096171923
-0.056031246,0.027505577649509744,0.1461426709622613,0.22465937439424516,-0.018081211,0.022205951,0.20052738,-0.024086373,-0.098389283
-0.049237661,0.02659442696564677,0.14872205991436394,0.22774052184772028,-0.015346408,0.022376968,0.20296463,-0.034045164,-0.097529642
