idp,final_x,final_y,final_z,final_rhop,mass_kg,ever_overtop,ever_leak,final_category
150059,4.8831649,5.7419109,6.0624681,1702.7393,212.8424125,0,0,upstream
150060,5.1903124,5.8269958,5.7222538,1698.9329,212.3666125,0,0,upstream
150061,4.1476245,5.9123039,6.6777163,1700.098,212.51225,0,0,upstream
150062,5.4288435,6.1102967,6.1262269,1701.6876,212.71095,0,0,upstream
150063,7.3784251,6.0367751,5.7884483,1699.6456,212.4557,0,0,upstream
150064,8.4791737,6.3210344,6.0646586,1703.4053,212.9256625,0,0,upstream
150065,7.692925,6.3498783,6.1228633,1703.524,212.9405,0,0,upstream
150066,2.2154665,5.5336885,6.6673698,1699.9375,212.4921875,0,0,upstream
150067,9.3081665,6.5697937,6.0697098,1704.1676,213.02095,0,0,upstream
150068,8.1428671,6.7123022,6.1304145,1701.6188,212.70235,0,0,upstream
150069,2.4016643,5.703999,6.6448283,1699.9573,212.4946625,0,0,upstream
150070,10.546046,7.2997384,6.723989,1699.869,212.483625,0,0,upstream
150071,11.689551,6.9435287,6.0451903,1703.1392,212.8924,0,0,upstream
150072,12.451771,6.8182359,6.248282,1702.4213,212.8026625,0,0,upstream
150073,4.3441315,6.3592453,6.6737404,1700.0497,212.5062125,0,0,upstream
150074,7.7198267,6.4731913,6.7406187,1699.6417,212.4552125,0,0,upstream
150075,13.747948,7.2977667,6.6690044,1699.7805,212.4725625,0,0,upstream
150076,13.074244,7.0484037,6.1325622,1701.3414,212.667675,0,0,upstream
150077,4.6851034,6.5418005,6.65417,1699.7998,212.474975,0,0,upstream
150078,17.392948,7.2185435,5.9742427,1703.1586,212.894825,0,0,upstream
150079,10.749671,6.5695386,6.2232785,1702.7468,212.84335,0,0,upstream
150080,12.674272,7.1494665,6.7497368,1699.8282,212.478525,0,0,upstream
150081,20.885511,7.6845384,6.5448003,1699.8561,212.4820125,0,0,upstream
150082,10.904111,7.0102797,6.7520967,1699.684,212.4605,0,0,upstream
150083,6.353992,5.9205627,6.6778817,1699.8041,212.4755125,0,0,upstream
150084,22.059647,7.8745937,6.6067567,1700.1041,212.5130125,0,0,upstream
150085,7.0725908,6.4603844,6.6967773,1699.8186,212.477325,0,0,upstream
150086,22.290449,7.675796,6.6053014,1699.9229,212.4903625,0,0,upstream
150087,9.2130423,6.3355222,6.7491732,1699.6025,212.4503125,0,0,upstream
150088,15.021827,7.3195362,6.6791129,1699.7247,212.4655875,0,0,upstream
150089,14.209723,7.1024723,6.6290202,1699.6732,212.45915,0,0,upstream
150090,0.54546392,3.0299466,0.52527183,1701.6349,212.7043625,0,0,upstream
150091,0.56428939,3.075844,0.98038954,1703.8524,212.98155,0,0,upstream
150092,0.63332123,3.0995524,1.3883772,1701.8528,212.7316,0,0,upstream
150093,0.58219779,3.1025488,1.8187557,1703.1732,212.89665,0,0,upstream
150094,0.65884042,3.1680012,2.2355824,1703.4873,212.9359125,0,0,upstream
150095,0.89738268,3.1717799,2.5122852,1701.8422,212.730275,0,0,upstream
150096,0.52614999,3.1640983,2.9675276,1703.6843,212.9605375,0,0,upstream
150097,0.74796265,3.2321801,3.2593386,1701.7827,212.7228375,0,0,upstream
150098,0.63609076,3.2644362,3.6348555,1702.6333,212.8291625,0,0,upstream
150099,0.61015916,3.2464728,4.0393615,1702.9646,212.870575,0,0,upstream
150100,0.72200018,3.3149476,4.3597555,1702.327,212.790875,0,0,upstream
150101,0.71510047,3.312748,4.6646881,1701.2668,212.65835,0,0,upstream
150102,0.65310991,3.350642,4.9955411,1701.7919,212.7239875,0,0,upstream
150103,0.7315889,3.5610042,5.230793,1703.0823,212.8852875,0,0,upstream
150104,0.80994821,3.4907179,5.5605984,1701.6367,212.7045875,0,0,upstream
150105,1.1429814,3.8825843,5.5451512,1701.0039,212.6254875,0,0,upstream
150106,0.85121459,3.8941953,5.8314428,1698.28,212.285,0,0,upstream
150107,0.69360512,3.7772706,6.1912594,1700.046,212.50575,0,0,upstream
150108,1.5045688,4.4152699,5.7397623,1698.3243,212.2905375,0,0,upstream
150109,1.050208,4.1094971,6.2971559,1707.495,213.436875,0,0,upstream
150110,0.64098072,3.9715495,6.7325644,1697.3115,212.1639375,0,0,upstream
150111,1.7911702,4.9077587,5.8985043,1700.1147,212.5143375,0,0,upstream
150112,2.5728209,5.1343508,5.9354148,1701.4701,212.6837625,0,0,upstream
150113,1.4975277,4.7419915,6.279685,1701.7001,212.7125125,0,0,upstream
150114,1.0003594,5.1383605,6.9866524,1699.5929,212.4491125,0,0,upstream
150115,3.8269765,5.7884121,5.7373409,1700.1163,212.5145375,0,0,upstream
150116,3.4825249,5.6887803,5.9017549,1700.5919,212.5739875,0,0,upstream
150117,1.1255987,4.8276405,6.9606638,1699.608,212.451,0,0,upstream
150118,1.5083921,5.2506423,6.8939843,1699.8782,212.484775,0,0,upstream
150119,6.0652866,5.9823742,5.9094625,1704.4877,213.0609625,0,0,upstream
150120,6.9012027,6.3705506,5.7230082,1699.8673,212.4834125,0,0,upstream
150121,5.8987751,6.4893522,6.0060573,1701.0918,212.636475,0,0,upstream
150122,4.5112958,6.1037803,6.6553473,1699.9441,212.4930125,0,0,upstream
150123,2.0675609,5.5982571,6.6883478,1699.7782,212.472275,0,0,upstream
150124,2.2053859,5.6151481,6.6425834,1699.7614,212.470175,0,0,upstream
150125,6.5359979,6.5596008,6.0094404,1702.4646,212.808075,0,0,upstream
150126,6.4471574,6.8476834,6.7475572,1699.8101,212.4762625,0,0,upstream
150127,10.279581,7.0583172,6.6704707,1699.4974,212.437175,0,0,upstream
150128,6.9127526,6.8230071,6.711422,1699.7836,212.47295,0,0,upstream
150129,9.224966,7.097239,6.7328587,1699.6899,212.4612375,0,0,upstream
150130,12.431512,7.2488732,6.7164245,1699.7045,212.4630625,0,0,upstream
150131,8.7849407,7.0040417,6.0542612,1703.9396,212.99245,0,0,upstream
150132,3.3900793,6.4678359,6.6284852,1699.5454,212.443175,0,0,upstream
