idp,x,y,z,category
166908,27.444613,5.479176,2.5212455,trapped
166909,28.995903,4.7040062,2.2428863,trapped
166910,26.088907,5.1776943,2.216275,trapped
166911,29.550352,5.5510688,2.2374508,trapped
166912,28.990755,5.3216166,2.2832341,trapped
166913,31.143732,5.0404177,2.6246781,trapped
166914,29.185249,5.7245011,2.5999615,trapped
166915,32.937378,4.962059,2.4257433,trapped
166916,30.439955,5.1957393,2.5805836,trapped
166917,32.441444,5.2420158,2.515157,trapped
166918,31.22295,5.6373224,2.4264917,trapped
166919,30.302378,5.5846987,2.6225343,trapped
166920,34.200947,5.5818305,2.8310642,trapped
166921,32.667656,5.7837715,2.799834,trapped
166922,33.183006,5.3332415,2.6306462,trapped
166923,29.883896,5.8201156,2.6650167,trapped
166924,35.36908,5.9157066,3.0515049,trapped
166925,32.217079,5.7446704,2.8997428,trapped
166926,32.078217,6.1878581,2.8288596,trapped
166927,34.886143,6.0467725,3.040688,trapped
166928,34.275505,6.3791018,3.0279458,trapped
166929,37.546093,6.4825821,3.2160721,trapped
166930,31.761395,6.5324183,2.8594623,trapped
166931,36.8466,6.4387746,3.2157631,trapped
166932,34.039856,6.6609206,3.2431099,trapped
166933,36.793251,6.8803854,3.3348541,trapped
166934,37.350399,7.0506568,3.213383,trapped
166935,36.217419,6.8952341,3.3153942,trapped
166936,39.728962,7.2675576,3.6275356,trapped
166937,38.326859,7.363328,3.6603234,trapped
166938,41.363708,7.4670238,3.6485131,trapped
166939,39.016663,7.5199704,3.4663603,trapped
166940,43.024204,7.7244501,3.9474926,trapped
166941,42.196007,7.862484,4.1394382,trapped
166942,43.566566,8.3189039,4.1239872,trapped
166943,47.335629,8.1384468,4.6421423,trapped
166944,47.949062,8.716548,4.9078817,trapped
166945,50.221016,8.9348783,5.1957126,trapped
166946,51.814083,8.9967461,5.6676769,trapped
166947,53.499027,8.991971,6.2196317,trapped
166948,53.265324,9.3755646,6.7064538,trapped
166949,53.952156,8.7710342,7.6152539,trapped
166950,5.5499592,7.0452557,0.65774554,trapped
166951,6.6987314,6.9279199,0.79718864,trapped
166952,7.50526,6.7424088,0.75338,trapped
166953,11.048914,6.7182446,1.388621,trapped
166954,12.33642,6.656425,1.2526175,trapped
166955,14.766921,6.3601518,1.1921942,trapped
166956,15.621341,6.4008479,1.4809169,trapped
166957,16.727352,6.2961769,1.1916952,trapped
166958,18.491381,6.0961556,1.6961406,trapped
166959,20.510984,6.1050701,1.6195992,trapped
166960,25.376221,5.5572457,1.8278459,trapped
166961,20.120295,6.2585254,1.6427978,trapped
166962,23.624472,5.8699312,1.9060857,trapped
166963,22.828863,5.8764372,1.7149076,trapped
166964,25.423662,6.0267625,1.9339216,trapped
